attack_id,location_names,campaign_name,verified_attack_type,attack_date,number_killed,number_wounded
1421256625,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-12-16,0,7
-1946930697,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2014-12-18,1,3
1488498799,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-19,7,0
1421249955,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-24,46,68
322041432,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-26,0,0
1155384286,Pakistan,"Pakistani Rebels vs. Pakistan & U.S. Allies","Confirmed Suicide",2014-12-27,0,0
-1227612395,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-28,4,13
-771081765,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2014-12-29,21,52
1421184085,Libya,"Libyan Rebels","Confirmed Suicide",2014-12-30,0,18
249756739,Yemen,"Rebels vs. Yemen","Confirmed Suicide",2014-12-31,49,70
487924732,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2015-01-01,0,0
1423674401,Nigeria,"Rebels vs. Nigeria & Allies","Confirmed Suicide",2015-01-01,0,8
1477589124,Iraq,"Iraqi Rebels vs. Iraqi Government & Allies","Confirmed Suicide",2015-01-02,6,14
1024586818,Somalia,"Somali Rebels vs. Ethiopia & Allies","Confirmed Suicide",2015-01-04,6,1
-1209509563,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2015-01-05,0,0
1424102415,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2015-01-05,1,5
1424192798,Afghanistan,"Afghan Rebels vs. U.S. & Allies","Confirmed Suicide",2015-01-05,2,9
